"id";"uri";"titulo";"entidade";"entidadeUF";"entidadePais";"anoInicio";"anoFim"
"222142";"https://dadosabertos.camara.leg.br/api/v2/deputados/222142";"Comandante Interino do CPChq";"Polícia Militar do Estado de São Paulo - PMESP";"SP";"BRASIL";"2011";"2011"
"222142";"https://dadosabertos.camara.leg.br/api/v2/deputados/222142";"Comandante do 1º BPChq “Tobias de Aguiar” – ROTA";"Polícia Militar do Estado de São Paulo - PMESP";"SP";"BRASIL";"2009";"2011"
"222142";"https://dadosabertos.camara.leg.br/api/v2/deputados/222142";"Comandante Interino do CPA/M-1";"Polícia Militar do Estado de São Paulo - PMESP";"SP";"BRASIL";"2009";"2009"
"222142";"https://dadosabertos.camara.leg.br/api/v2/deputados/222142";"Comandante do 7º BPM/M";"Polícia Militar do Estado de São Paulo - PMESP";"SP";"BRASIL";"2007";"2009"
"222142";"https://dadosabertos.camara.leg.br/api/v2/deputados/222142";"Chefe do Estado Maior do CPA/M-7";"Polícia Militar do Estado de São Paulo - PMESP";"SP";"BRASIL";"2007";"2007"
"222142";"https://dadosabertos.camara.leg.br/api/v2/deputados/222142";"Chefe do Departamento de Gestão de Pessoal – DP";"Polícia Militar do Estado de São Paulo - PMESP";"SP";"BRASIL";"2006";"2006"
"222142";"https://dadosabertos.camara.leg.br/api/v2/deputados/222142";"Subdiretor de Pessoal – DP";"Polícia Militar do Estado de São Paulo - PMESP";"SP";"BRASIL";"2006";"2007"
"222142";"https://dadosabertos.camara.leg.br/api/v2/deputados/222142";"Chefe da Divisão de Pessoal Militar – DP-1";"Polícia Militar do Estado de São Paulo - PMESP";"SP";"BRASIL";"2005";"2006"
"222142";"https://dadosabertos.camara.leg.br/api/v2/deputados/222142";"Chefe da Divisão de Pessoal Inativo da PMESP – DP 4";"Polícia Militar do Estado de São Paulo - PMESP";"SP";"BRASIL";"2004";"2005"
"222142";"https://dadosabertos.camara.leg.br/api/v2/deputados/222142";"Subchefe do Centro de Assistência Social e Jurídica da PMESP";"Polícia Militar do Estado de São Paulo - PMESP";"SP";"BRASIL";"2003";"2004"
"222142";"https://dadosabertos.camara.leg.br/api/v2/deputados/222142";"Comandante Interino do 4º BPM/M";"Polícia Militar do Estado de São Paulo - PMESP";"SP";"BRASIL";"2001";"2001"
"222142";"https://dadosabertos.camara.leg.br/api/v2/deputados/222142";"Comandante Interino do 17º BPM/M";"Polícia Militar do Estado de São Paulo - PMESP";"SP";"BRASIL";"2001";"2001"
"222142";"https://dadosabertos.camara.leg.br/api/v2/deputados/222142";"Chefe da Divisão Operacional do CPA/M-7";"Polícia Militar do Estado de São Paulo - PMESP";"SP";"BRASIL";"2001";"2003"
"222142";"https://dadosabertos.camara.leg.br/api/v2/deputados/222142";"Chefe do Estado Maior do CPA/M";"Polícia Militar do Estado de São Paulo - PMESP";"SP";"BRASIL";"2000";"2001"
"222142";"https://dadosabertos.camara.leg.br/api/v2/deputados/222142";"Chefe da Divisão Operacional do CPA/M-2 – Zona Sul";"Polícia Militar do Estado de São Paulo - PMESP";"SP";"BRASIL";"2000";"2000"
"222142";"https://dadosabertos.camara.leg.br/api/v2/deputados/222142";"Comandante Interino do 24º BPM/M – Diadema";"Polícia Militar do Estado de São Paulo - PMESP";"SP";"BRASIL";"1999";"2000"
"220712";"https://dadosabertos.camara.leg.br/api/v2/deputados/220712";"Deputado Estadual";"Assembleia Legislativa do Amazonas";"AM";"BRASIL";"2019";"2023"
"220708";"https://dadosabertos.camara.leg.br/api/v2/deputados/220708";"Superintendente de Habitação no Estado";"Secretaria do Desenvolvimento Urbano - Sedur";"BA";"BRASIL";"2017";"2018"
"220707";"https://dadosabertos.camara.leg.br/api/v2/deputados/220707";"Secretária Municipal de Governo e Articulação Política";"Prefeitura Municipal";"MA";"BRASIL";"2021";"2023"
"220705";"https://dadosabertos.camara.leg.br/api/v2/deputados/220705";"Procurador da República";"Ministério Público Federal";"PR";"BRASIL";"2003";"2021"
"220704";"https://dadosabertos.camara.leg.br/api/v2/deputados/220704";"Professora";"Secretaria Estadual de Educação do Paraná";"PR";"BRASIL";"2013";"2021"
"220703";"https://dadosabertos.camara.leg.br/api/v2/deputados/220703";"Chefe de Gabinete";"Companhia de Engenharia Hídrica e de Saneamento - CERB";"BA";"BRASIL";"2019";"2020"
"220701";"https://dadosabertos.camara.leg.br/api/v2/deputados/220701";"Delegado de Polícia";"Secretaria Estadual de Segurança Pública do Paraná";"PR";"BRASIL";"2008";""
"220700";"https://dadosabertos.camara.leg.br/api/v2/deputados/220700";"Secretário de Saúde";"Secretaria de Estado da Saúde do Piauí – Sesapi";"PI";"BRASIL";"2017";"2022"
"220699";"https://dadosabertos.camara.leg.br/api/v2/deputados/220699";"Diretor do Departamento de Estradas e Rodagens DER";"Governo do Estado do Piauí";"PI";"BRASIL";"2017";"2022"
"220699";"https://dadosabertos.camara.leg.br/api/v2/deputados/220699";"Secretário de Estado de Infraestrutura - Seinfra";"Governo do Estado do Piauí";"PI";"BRASIL";"2011";"2014"
"220698";"https://dadosabertos.camara.leg.br/api/v2/deputados/220698";"Secretário Estadual de Saúde";"Governo do Estado do Paraná";"PR";"BRASIL";"2019";"2022"
"220698";"https://dadosabertos.camara.leg.br/api/v2/deputados/220698";"Perito Médico";"Ministério do Trabalho e Previdência";"PR";"BRASIL";"2010";""
"220698";"https://dadosabertos.camara.leg.br/api/v2/deputados/220698";"Diretor Institucional";"Hospital Evangélico de Londrina";"PR";"BRASIL";"2006";"2006"
"220698";"https://dadosabertos.camara.leg.br/api/v2/deputados/220698";"Diretor do Departamento de Ouvidoria";"Ministério da Saúde";"DF";"BRASIL";"2002";"2004"
"220698";"https://dadosabertos.camara.leg.br/api/v2/deputados/220698";"Secretário Municipal de Saúde";"Prefeitura Municipal de Califórnia";"PR";"BRASIL";"2001";"2002"
"220698";"https://dadosabertos.camara.leg.br/api/v2/deputados/220698";"Secretário Municipal de Saúde";"Prefeitura Municipal de Apucarana";"PR";"BRASIL";"1998";"2000"
"220695";"https://dadosabertos.camara.leg.br/api/v2/deputados/220695";"Secretária Municipal de Políticas para Mulheres, Infância e Juventude";"Prefeitura Municipal de Salvador";"BA";"BRASIL";"2019";"2020"
"220692";"https://dadosabertos.camara.leg.br/api/v2/deputados/220692";"Empresário do ramo de combustíveis";"Postos de gasolina";"";"";"2000";""
"220689";"https://dadosabertos.camara.leg.br/api/v2/deputados/220689";"Secretária Municipal";"Secretaria de Assistência Social";"MA";"BRASIL";"2015";""
"220688";"https://dadosabertos.camara.leg.br/api/v2/deputados/220688";"Diretor-Geral";"Instituto de Águas e Esgotos do Piauí";"PI";"BRASIL";"2017";"2018"
"220688";"https://dadosabertos.camara.leg.br/api/v2/deputados/220688";"Secretário Estadual de Saúde";"Governo do Estado do Piauí";"PI";"BRASIL";"2015";"2017"
"220688";"https://dadosabertos.camara.leg.br/api/v2/deputados/220688";"Perito Médico Legal";"Polícia Civil do Estado do Piauí";"PI";"BRASIL";"2009";""
"220688";"https://dadosabertos.camara.leg.br/api/v2/deputados/220688";"Médico";"Fundação Municipal de Saúde – Prefeitura de Teresina";"PI";"BRASIL";"2007";""
"220688";"https://dadosabertos.camara.leg.br/api/v2/deputados/220688";"Médico";"Prefeitura Municipal de São Francisco do Maranhão";"MA";"BRASIL";"2007";"2014"
"220688";"https://dadosabertos.camara.leg.br/api/v2/deputados/220688";"Médico";"Prefeitura Municipal de Amarante";"PI";"BRASIL";"2006";"2008"
"220688";"https://dadosabertos.camara.leg.br/api/v2/deputados/220688";"Médico";"Prefeitura Municipal de Floriano";"PI";"BRASIL";"2006";"2007"
"220688";"https://dadosabertos.camara.leg.br/api/v2/deputados/220688";"Médico";"Prefeitura Municipal de Rio Grande do Piauí";"PI";"BRASIL";"2005";"2006"
"220687";"https://dadosabertos.camara.leg.br/api/v2/deputados/220687";"Secretário Estadual";"Secretaria de Desenvolvimento Social do Estado do Maranhão";"MA";"BRASIL";"2019";"2021"
"220687";"https://dadosabertos.camara.leg.br/api/v2/deputados/220687";"Secretário Estadual";"Secretaria  da Agricultura, Pecuária e Pesca do Estado do Maranhão";"MA";"BRASIL";"2015";"2018"
"220687";"https://dadosabertos.camara.leg.br/api/v2/deputados/220687";"Sócio Diretor";"Faculdade de Balsas - Unibalsas";"MA";"BRASIL";"2005";"2014"
"220687";"https://dadosabertos.camara.leg.br/api/v2/deputados/220687";"Sócio Diretor";"Cromo Construtora";"MA";"BRASIL";"1989";"2014"
"220687";"https://dadosabertos.camara.leg.br/api/v2/deputados/220687";"Sócio Diretor";"Lavronorte";"MA";"BRASIL";"1983";"2014"
"220686";"https://dadosabertos.camara.leg.br/api/v2/deputados/220686";"Presidente";"Procon Maranhão";"MA";"BRASIL";"2015";"2018"
"220684";"https://dadosabertos.camara.leg.br/api/v2/deputados/220684";"Diretor";"APPA";"PR";"BRASIL";"2012";"2014"
"220684";"https://dadosabertos.camara.leg.br/api/v2/deputados/220684";"Chefe de Gabinete";"Casa Civil";"PR";"BRASIL";"2011";"2012"
"220684";"https://dadosabertos.camara.leg.br/api/v2/deputados/220684";"Acionista";"Medeiros & Emerick";"PR";"BRASIL";"2009";""
"220676";"https://dadosabertos.camara.leg.br/api/v2/deputados/220676";"Secretária Municipal de Assistência Social";"Prefeitura Municipal de Tucuruí";"PA";"BRASIL";"2021";"2022"
"220673";"https://dadosabertos.camara.leg.br/api/v2/deputados/220673";"Delegado de Polícia";"Secretaria Especial de Defesa Social";"";"";"2010";"2019"
"220673";"https://dadosabertos.camara.leg.br/api/v2/deputados/220673";"Policial Militar";"Secretaria Segurança Pública";"";"";"2001";"2003"
"220673";"https://dadosabertos.camara.leg.br/api/v2/deputados/220673";"Soldado";"Exército Brasileiro";"";"";"1998";"1998"
"220672";"https://dadosabertos.camara.leg.br/api/v2/deputados/220672";"Secretário Regional de Governo do Oeste do Pará";"Governo do Estado do Pará";"PA";"BRASIL";"2019";"2022"
"220672";"https://dadosabertos.camara.leg.br/api/v2/deputados/220672";"Almoxarife";"Construtora Fluminense Comercial Ltda";"PA";"BRASIL";"1993";"2004"
"220670";"https://dadosabertos.camara.leg.br/api/v2/deputados/220670";"Vice-Reitora";"Centro Universitário Facol – Unifacol";"PE";"BRASIL";"2018";""
"220670";"https://dadosabertos.camara.leg.br/api/v2/deputados/220670";"Diretora de Saúde";"Clínica Universitária de Reabilitação e Educação";"PE";"BRASIL";"2016";""
"220670";"https://dadosabertos.camara.leg.br/api/v2/deputados/220670";"Coordenadora do Curso de Fisioterapia";"Centro Universitário Facol – Unifacol";"PE";"BRASIL";"2015";""
"220664";"https://dadosabertos.camara.leg.br/api/v2/deputados/220664";"Sócio";"Star Turismo";"PE";"BRASIL";"2005";""
"220664";"https://dadosabertos.camara.leg.br/api/v2/deputados/220664";"Diretor de Patrimônio";"Assembleia Legislativa do Estado de Pernambuco";"PE";"BRASIL";"2003";"2005"
"220664";"https://dadosabertos.camara.leg.br/api/v2/deputados/220664";"Chefe de Gabinete do Deputado Guilherme Uchoa";"Assembleia Legislativa do Estado de Pernambuco";"PE";"BRASIL";"1999";"2003"
"220664";"https://dadosabertos.camara.leg.br/api/v2/deputados/220664";"Assistente Judiciário";"Tribunal de Justiça - Juizado de Pequenas Causas";"";"";"1995";"1999"
"220664";"https://dadosabertos.camara.leg.br/api/v2/deputados/220664";"Oficial de Gabinete";"Governo do Estado de Pernambuco";"";"";"1991";"1995"
"220658";"https://dadosabertos.camara.leg.br/api/v2/deputados/220658";"Vice-Presidente Administrativo";"Confederação Nacional do Comércio - CNC";"DF";"BRASIL";"2018";""
"220658";"https://dadosabertos.camara.leg.br/api/v2/deputados/220658";"Presidente";"Sistema Fecomércio - CE";"CE";"BRASIL";"1998";""
"220655";"https://dadosabertos.camara.leg.br/api/v2/deputados/220655";"Secretário Especial de Cultura";"Governo Federal";"DF";"BRASIL";"2020";"2022"
"220654";"https://dadosabertos.camara.leg.br/api/v2/deputados/220654";"Delegado de Polícia";"Secretaria de Segurança Pública";"SP";"BRASIL";"2012";""
"220651";"https://dadosabertos.camara.leg.br/api/v2/deputados/220651";"Secretária de Comunicação";"Câmara Municipal de Sorocaba";"SP";"BRASIL";"2010";"2011"
"220651";"https://dadosabertos.camara.leg.br/api/v2/deputados/220651";"Professora Universtaria";"Fundação Dom Aguirre";"SP";"BRASIL";"2007";""
"220651";"https://dadosabertos.camara.leg.br/api/v2/deputados/220651";"Diretora de Jornalismo";"TV Sorocaba SBT";"SP";"BRASIL";"2005";"2015"
"220651";"https://dadosabertos.camara.leg.br/api/v2/deputados/220651";"Editora";"EPTV";"SP";"BRASIL";"2005";"2005"
"220651";"https://dadosabertos.camara.leg.br/api/v2/deputados/220651";"Apresentadora";"Tv Tem Bauru";"SP";"BRASIL";"2004";"2005"
"220651";"https://dadosabertos.camara.leg.br/api/v2/deputados/220651";"Editora Chefe";"Tv Tem Itapetininga";"SP";"BRASIL";"2003";"2004"
"220651";"https://dadosabertos.camara.leg.br/api/v2/deputados/220651";"Professora";"Instituto Imaculada Conceição";"SP";"BRASIL";"2000";"2004"
"220650";"https://dadosabertos.camara.leg.br/api/v2/deputados/220650";"Secretário de Desenvolvimento Econômico, Ciência e Tecnologia";"Governo do Estado de São Paulo";"SP";"BRASIL";"2011";"2012"
"220650";"https://dadosabertos.camara.leg.br/api/v2/deputados/220650";"Secretário de Estado de Desenvolvimento Social";"Governo do Estado de São Paulo";"SP";"BRASIL";"2011";"2011"
"220650";"https://dadosabertos.camara.leg.br/api/v2/deputados/220650";"Secretário Adjunto de Educação";"Governo do Estado de São Paulo";"SP";"BRASIL";"2004";"2006"
"220650";"https://dadosabertos.camara.leg.br/api/v2/deputados/220650";"Diretor de Projetos Especiais";"Fundação para o Desenvolvimento da Educação";"SP";"BRASIL";"2003";"2004"
"220650";"https://dadosabertos.camara.leg.br/api/v2/deputados/220650";"Assistente Técnico de Administração Pública";"Governo do Estado de São Paulo";"SP";"BRASIL";"2002";"2003"
"220648";"https://dadosabertos.camara.leg.br/api/v2/deputados/220648";"Presidente do Comitê de Regularização Fundiária";"Secretaria de Habitação do Estado de São Paulo";"SP";"BRASIL";"2019";"2022"
"220648";"https://dadosabertos.camara.leg.br/api/v2/deputados/220648";"Secretário Executivo";"Secretaria de Habitação do Estado de São Paulo";"SP";"BRASIL";"2019";"2022"
"220648";"https://dadosabertos.camara.leg.br/api/v2/deputados/220648";"Secretário Municipal";"Secretaria de Habitação e Regularização Fundiária";"SP";"BRASIL";"2017";"2018"
"220644";"https://dadosabertos.camara.leg.br/api/v2/deputados/220644";"Procuradora Jurídica";"Federação Nacional das APAEs";"DF";"BRASIL";"2013";"2021"
